2023-11-27 21:25:40,541 - root - INFO - Epoch 29; loss: 21.61095428466797; CER: 0.9872159957885742; WER: 1.0; val_loss: 23.24913787841797; val_CER: 0.9820555448532104; val_WER: 1.0
2023-11-27 21:26:38,682 - root - INFO - Epoch 30; loss: 21.520519256591797; CER: 0.984173059463501; WER: 1.0; val_loss: 23.2917537689209; val_CER: 0.9820555448532104; val_WER: 1.0
2023-11-27 21:27:36,407 - root - INFO - Epoch 31; loss: 21.44515609741211; CER: 0.9827653169631958; WER: 1.0; val_loss: 23.695789337158203; val_CER: 0.9854999780654907; val_WER: 1.0
2023-11-27 21:28:34,239 - root - INFO - Epoch 32; loss: 21.37239646911621; CER: 0.9792901873588562; WER: 1.0; val_loss: 24.25201416015625; val_CER: 0.9863333106040955; val_WER: 1.0
2023-11-27 21:29:31,742 - root - INFO - Epoch 33; loss: 21.255319595336914; CER: 0.9785494208335876; WER: 1.0; val_loss: 25.81734848022461; val_CER: 0.9863333106040955; val_WER: 1.0
2023-11-27 21:30:29,361 - root - INFO - Epoch 34; loss: 21.164535522460938; CER: 0.9783087372779846; WER: 1.0; val_loss: 23.654251098632812; val_CER: 0.9812222123146057; val_WER: 1.0
2023-11-27 21:31:27,421 - root - INFO - Epoch 35; loss: 21.077465057373047; CER: 0.9748454689979553; WER: 1.0; val_loss: 23.811063766479492; val_CER: 0.9820555448532104; val_WER: 1.0
2023-11-27 21:32:25,024 - root - INFO - Epoch 36; loss: 20.90151596069336; CER: 0.9790248870849609; WER: 1.0; val_loss: 25.025733947753906; val_CER: 0.9863333106040955; val_WER: 1.0
2023-11-27 21:33:22,938 - root - INFO - Epoch 37; loss: 20.75322914123535; CER: 0.9814014434814453; WER: 1.0; val_loss: 22.375329971313477; val_CER: 0.981055498123169; val_WER: 1.0
2023-11-27 21:34:20,520 - root - INFO - Epoch 38; loss: 20.572742462158203; CER: 0.9828209280967712; WER: 1.0; val_loss: 22.39495277404785; val_CER: 0.9861667156219482; val_WER: 1.0
2023-11-27 21:35:18,499 - root - INFO - Epoch 39; loss: 20.37076759338379; CER: 0.9864199161529541; WER: 1.0; val_loss: 24.205270767211914; val_CER: 0.9826110601425171; val_WER: 1.0
2023-11-27 21:36:16,342 - root - INFO - Epoch 40; loss: 20.058090209960938; CER: 0.9868025779724121; WER: 1.0; val_loss: 24.03359031677246; val_CER: 0.9809443950653076; val_WER: 1.0
2023-11-27 21:37:14,479 - root - INFO - Epoch 41; loss: 19.82495880126953; CER: 0.9874569773674011; WER: 1.0; val_loss: 20.16648292541504; val_CER: 0.9751666188240051; val_WER: 1.0
2023-11-27 21:38:12,988 - root - INFO - Epoch 42; loss: 19.37223243713379; CER: 0.9818825721740723; WER: 1.0; val_loss: 25.888826370239258; val_CER: 0.9771666526794434; val_WER: 1.0
2023-11-27 21:39:10,972 - root - INFO - Epoch 43; loss: 18.964216232299805; CER: 0.9640371203422546; WER: 1.0; val_loss: 23.549219131469727; val_CER: 0.9730001091957092; val_WER: 1.0
2023-11-27 21:40:09,500 - root - INFO - Epoch 44; loss: 18.439910888671875; CER: 0.9356482625007629; WER: 1.0; val_loss: 17.898771286010742; val_CER: 0.8772777318954468; val_WER: 0.996666669845581
2023-11-27 21:41:07,509 - root - INFO - Epoch 45; loss: 17.722135543823242; CER: 0.8933581709861755; WER: 1.0; val_loss: 15.703567504882812; val_CER: 0.7981111407279968; val_WER: 1.0
2023-11-27 21:42:05,818 - root - INFO - Epoch 46; loss: 16.94840431213379; CER: 0.8545740842819214; WER: 0.9996296167373657; val_loss: 14.007031440734863; val_CER: 0.7328333258628845; val_WER: 0.996666669845581
2023-11-27 21:43:03,616 - root - INFO - Epoch 47; loss: 16.117637634277344; CER: 0.8128024339675903; WER: 0.9992592334747314; val_loss: 13.76749038696289; val_CER: 0.6962222456932068; val_WER: 0.9900000095367432
2023-11-27 21:44:01,780 - root - INFO - Epoch 48; loss: 15.358670234680176; CER: 0.7894505858421326; WER: 0.9970370531082153; val_loss: 11.667254447937012; val_CER: 0.6137222647666931; val_WER: 0.9666666388511658
2023-11-27 21:44:59,193 - root - INFO - Epoch 49; loss: 14.569026947021484; CER: 0.756611168384552; WER: 0.9959259033203125; val_loss: 10.449793815612793; val_CER: 0.5677222609519958; val_WER: 0.9666666388511658
2023-11-27 21:45:57,098 - root - INFO - Epoch 50; loss: 13.932843208312988; CER: 0.7264260053634644; WER: 0.9911110997200012; val_loss: 10.340497016906738; val_CER: 0.5383888483047485; val_WER: 0.949999988079071
2023-11-27 21:46:55,506 - root - INFO - Epoch 51; loss: 13.485649108886719; CER: 0.709845781326294; WER: 0.9903703927993774; val_loss: 8.158839225769043; val_CER: 0.4612778127193451; val_WER: 0.9333333373069763
2023-11-27 21:47:53,337 - root - INFO - Epoch 52; loss: 12.712691307067871; CER: 0.6766543984413147; WER: 0.9862962961196899; val_loss: 7.822310924530029; val_CER: 0.4432222545146942; val_WER: 0.903333306312561
2023-11-27 21:48:50,545 - root - INFO - Epoch 53; loss: 12.124553680419922; CER: 0.6559939384460449; WER: 0.9811111092567444; val_loss: 8.215555191040039; val_CER: 0.48561111092567444; val_WER: 0.95333331823349
2023-11-27 21:49:49,903 - root - INFO - Epoch 54; loss: 11.778722763061523; CER: 0.6350246667861938; WER: 0.9744444489479065; val_loss: 7.584485054016113; val_CER: 0.41705554723739624; val_WER: 0.8799999952316284
2023-11-27 21:50:53,519 - root - INFO - Epoch 55; loss: 11.380023002624512; CER: 0.6119567155838013; WER: 0.9666666388511658; val_loss: 6.3399128913879395; val_CER: 0.37361112236976624; val_WER: 0.8566666841506958
2023-11-27 21:51:48,281 - root - INFO - Epoch 56; loss: 10.925639152526855; CER: 0.5988950729370117; WER: 0.9640740752220154; val_loss: 9.179737091064453; val_CER: 0.5152777433395386; val_WER: 0.9399999976158142
2023-11-27 21:52:43,237 - root - INFO - Epoch 57; loss: 10.56344985961914; CER: 0.5819753408432007; WER: 0.9581481218338013; val_loss: 8.132983207702637; val_CER: 0.44155552983283997; val_WER: 0.8733333349227905
2023-11-27 21:53:37,533 - root - INFO - Epoch 58; loss: 10.2771635055542; CER: 0.5711605548858643; WER: 0.9562963247299194; val_loss: 12.676025390625; val_CER: 0.6754444241523743; val_WER: 0.9800000190734863
2023-11-27 21:54:31,925 - root - INFO - Epoch 59; loss: 9.788878440856934; CER: 0.5464258790016174; WER: 0.9492592811584473; val_loss: 5.3888349533081055; val_CER: 0.32022225856781006; val_WER: 0.8299999833106995
2023-11-27 21:55:26,742 - root - INFO - Epoch 60; loss: 9.767243385314941; CER: 0.5426482558250427; WER: 0.9418518543243408; val_loss: 15.490321159362793; val_CER: 0.7842222452163696; val_WER: 0.9933333396911621
2023-11-27 21:56:21,149 - root - INFO - Epoch 61; loss: 9.596617698669434; CER: 0.5235061645507812; WER: 0.9296296238899231; val_loss: 13.076058387756348; val_CER: 0.7146111726760864; val_WER: 0.9599999785423279
2023-11-27 21:57:16,038 - root - INFO - Epoch 62; loss: 8.943774223327637; CER: 0.4981975257396698; WER: 0.919259250164032; val_loss: 5.3282670974731445; val_CER: 0.3015000522136688; val_WER: 0.7799999713897705
2023-11-27 21:58:10,504 - root - INFO - Epoch 63; loss: 8.818379402160645; CER: 0.4927530586719513; WER: 0.9107407331466675; val_loss: 4.576624870300293; val_CER: 0.27477777004241943; val_WER: 0.7633333206176758
2023-11-27 21:59:05,014 - root - INFO - Epoch 64; loss: 8.691468238830566; CER: 0.4887838661670685; WER: 0.9166666865348816; val_loss: 4.1117329597473145; val_CER: 0.23133334517478943; val_WER: 0.6933333277702332
2023-11-27 21:59:59,969 - root - INFO - Epoch 65; loss: 8.446208953857422; CER: 0.4713888466358185; WER: 0.8929629921913147; val_loss: 4.442070484161377; val_CER: 0.2588888704776764; val_WER: 0.7400000095367432
2023-11-27 22:00:54,220 - root - INFO - Epoch 66; loss: 8.199934005737305; CER: 0.4667653739452362; WER: 0.9081481695175171; val_loss: 3.8119683265686035; val_CER: 0.2266666740179062; val_WER: 0.70333331823349
2023-11-27 22:01:48,341 - root - INFO - Epoch 67; loss: 8.143860816955566; CER: 0.46422839164733887; WER: 0.8933333158493042; val_loss: 8.901823997497559; val_CER: 0.49100005626678467; val_WER: 0.9566666483879089
2023-11-27 22:02:42,743 - root - INFO - Epoch 68; loss: 8.040900230407715; CER: 0.4511295557022095; WER: 0.8903703689575195; val_loss: 7.751826286315918; val_CER: 0.43461111187934875; val_WER: 0.9333333373069763
2023-11-27 22:03:37,033 - root - INFO - Epoch 69; loss: 7.693911552429199; CER: 0.4355370104312897; WER: 0.8822222352027893; val_loss: 4.022608757019043; val_CER: 0.23222224414348602; val_WER: 0.7099999785423279
2023-11-27 22:04:31,540 - root - INFO - Epoch 70; loss: 7.5143046379089355; CER: 0.43082723021507263; WER: 0.8751851916313171; val_loss: 3.7953522205352783; val_CER: 0.22322222590446472; val_WER: 0.7166666388511658
